dataset,query_id,context,response_baseline,response_twsls
MANTIS,mantis_q13266,"My question is essentially: How is conservation of energy held in quark transitions?Several quark transitions seem to break energy conservation, such as
$$
 d \rightarrow c W^{-}
$$

$$
d \rightarrow t W^{-}
$$
where the masses are
$$
m_{d} \approx 3-7 \ \textrm{MeV}
$$

$$
m_{c} \approx 1.25\ \textrm{GeV}
$$

$$
m_{t} \approx 172\ \textrm{GeV}
$$

$$
m_{W^{-}} \approx 80.4 \ \textrm{GeV}
$$
Are all these transitions (and others) forbidden according to conservation of energy? Clearly they are perfectly allowed transitions, and so my intuition tells me the reason is due to the effective masses of quarks within a bound system.  

|||SPLIT|||

 ""  intuition tells me the reason is due to the effective masses of quarks within a bound system. Your intuition confuses you because you are trying to use a type of """"conservation of mass"""", (identifying mass with energy), a classical concept, instead of conservation of energy and momentum which makes life simple. One has to work with four vectors.If the coupling constants exist, and the center of mass energy of the """"system"""" under consideration allows the generation of the rest masses of the particles, the reaction can become physical.A simpler example than quarks comes from the inverse beta decay. The free neutron decays into a proton because it is energetically allowed, as the proton has a smaller mass than the neutron. BUT in a nucleus the inverse process is a allowed, taking energy from the nuclear system, the proton turning into a neutron,  $β^{+}$ decay. .Having said the above, I am curious in where did you find a d to top transition, which would have to go with higher order diagrams, still following four momentum algebra. This is the table of the straight forward couplings in quark decays,"" 

|||SPLIT|||

 Is it correct to say that energy required comes from the binding energy?My question arose from a homework assignment regarding Feynman diagrams for a particle physics class","Temperature is a classical, thermodynamic concept. In the plot above  it is  connected to the average kinetic energy  that can be transfered in collisions. The transition is posited to happen at ~100 GeV, because of the masses of the Z and W. So when the average temperatyre is 100 GeV there is, according to the standard model, enough energy for scattering outputs to be produced with masses. It is just a model, scale that works as it fits the data.","""But you're asking about beta decays, where the mass number does not change. In that case the you have to keep track of both the binding energy and the proton-neutron mass difference. Professionals use what's called the """"mass excess"""" to make things simpler. I've written about using mass excess to simplify binding energy problems before (e.g. [here](https://physics.stackexchange.com/a/112261/44126), [here](https://physics.stackexchange.com/a/161270), [here](https://physics.stackexchange.com/a/247202)). If nobody beats me to it, perhaps later I will add a mass excess discussion to this answer."""
MANTIS,mantis_q9801,"""""""Thrice-Honored Father"""", """"Thrice-Honored Rulers"""" or the like.The term  appears in the mid-nineteenth century books.  For example: here  and here and here and here.It has a classical feel to it -- Latin or Chinese. But I can't find much about it. What is the background of this phrase?"" 

|||SPLIT|||

 ""Mathematics or HyperboleAs it has been used at least since Middle English, thrice participates in two linguistic systems of numbering. In a one, two, three system, thrice means ‘three times’:   Published to commemorate the artist/photographer's [Luis González Palma] third invitation and participation at the Venice Biennale in 2017, making him the very first and only Latin-American artist thus far to be thrice-honored by the most prestigious art retrospective in the world.The Guatemalan photographer had been invited to the Venice Biennale three times, thus thrice-honored.In a one, two, many system, however, thrice means ‘to a great degree’:  There was this many knyghtes that overmacched [‘overmatched’ defeated] sir Gawayne for all his thryse double myght. — Thomas Malory, Le Morte d’Arthur, ca. 1470.Now I don't suspect Sir Thomas expected his readers to pause his tale of a noble knight to solve a simple multiplication problem, but instead  is using thrice double hyperbolically.  For all Gawain’s legendary prowess, there were still knights who could “overmatch” him.Thrice Double Shakespeare, Thrise Double Harvey, Twice JonsonShakespeare uses thrice two times in this sense, including Malory’s thrice double:  [Orlando to Oliver] he is thrice a villain that says such a father begot villains. — AYL 1, 1, 54.       [Caliban to Prospero] What a thrice double ass / Was I... — Tem 5, 1, 296.As a convenient intensifier, thrice invited the formation of readily understood compounds. Gabriel Harvey’s Letter-Book (1579) uses thrice — actually the older spelling thrise where the genitive ending is more transparent — with six different adjectives: happye and thrise happye (57, 92), thrise happye alone (78), thrise venerable (60), thrishonorable, in reference to Spenser’s moustache (61), thrise mightye (69), thrise dulcer (110), and thrise blessed (130).Shakespeare uses six such compounds (or strictly thrice double, if you like):  [Tamora to Titus] Thrice-noble Titus, spare my son. Tit 1, 1, 20.    [disguised Tamora to Titus] send for Lucius, thy thrice-valiant son. — Tit 5, 2, 112.        [Ulysses to Ajax] thy parts of nature / Thrice-famed beyond ... all erudition. — TC 2, 3, 240.    [Troilus alone] What will it be, / When that the watery palate tastes indeed / Love's thrice-repured nectar? [Q; F thrice reputed] [or: three-times purified] — TC 3, 2, 20.    [Warwick to King, of Gloucester] violent hands were laid / Upon the life of this thrice-famed Duke. — 2H6, 3, 2, 157.    [Othello to all, of custom] Hath made the flinty and steel couch of war / My thrice-driven bed of down. — Oth 1, 3, 229.Although Shakespeare does not specifically use thrice-honoured, both his plays and Malory’s romance show that one need not look to French or Latin for its origins. Both Gabriel Harvey and Shakespeare also show that the pattern could be easily followed with other adjectives to produce further compounds.When Shakespeare’s rival Ben Jonson was briefly imprisoned in 1605 for once again running afoul of the censors, he penned a letter “to the most nobly virtuous and thrice-honoured Earl of Salisbury.” And upon Jonson’s death  Shackerley Marmion also wrote … an elegy on Jonson, published in 1638, titled “A Funeral Sacrifice, to the Sacred Memory of his Thrice-Honored Father, Ben Jonson.”Early American SourcesAs Mormion elegized Jonson, when Josiah Winslow, the first colonial governor born in America, died in 1680, a clergyman in Scituate penned an elegy in rather tortured pentameter:  Upon the much to be lamented DEATH of the thrice three times honoured JOSIAH WINSLOW, Esq., late GOVERNOUR of New Plymouth    Thrice honoured Rulers, Elders, and People all
  Come and lament this stately Cedar's fall.
  …  Thrice Royal CHARLES, were he in person here,
  Into thy Urn, would drop a sacred tear. — The Rev. William Wetherell,  Scituate, Mass., 1680.On a  happier note, and with a far greater sense of the powers of English, William Penn closes a letter to his wife:  So farewell to my thrice dearly beloved wife and children!  Yours, as God pleaseth, in that which no waters can quench, no time forget, nor distance wear away, but remains for ever, """" Worminghurst, fourth of sixth month, 1682.  William Penn. — cited in:  Sydney Smith, The Edinburgh Review 21(1813), 458.A Fourth of July speech in 1795 begins with a rhetorical flourish:  This honored, thrice honored day completes the nineteenth anniversary of our political freedom: it constitutes an august era in the annals of time, well worthy of being held in perpetual remembrance to the latest generations: it founds an illustrious epocha in the history of man, highly meriting most grateful inscription, on the living tablet of the raptured heart. — An oration on the independence of the United States of Federate America; pronounced at Portsmouth, New-Hampshire, July 4, 1795. / By George Richards. The construction adjective, thrice adjective seems to have been a favored device, also in England:  But happy they, thrice happy, who profess Their greatest blessing is the power to bless… — The British Critic, and Quarterly Theological Review, 1801.    Welcome, thrice, welcome, ye noble patriots, to this asylum of the oppressed! — William Hamilton, Report of the Trial and Acquittal of Edward Shippen, Esq., Chief Justice, 1805.    The city of Providence, fortunate in its situation at the head-waters of Narragansett Bay, thrice fortunate in its birth of freedom and soul liberty in 1636, was most highly favored in the character and quality of its founders. — Biographical Pamphlet, 1812.This construction apparently enjoyed a long-lived popularity. First seen in Gabriel Harvey, Phineas Fletcher manages to use happy, thrice happy three times in only seven lines:  Thrice Happy Times
  Happy, thrice happy times in silver age!
   …
  Happy, thrice happy age! happy, thrice happy times! — Phineas Fletcher (d. 1650).ConclusionThrice as a hyperbolic intensifier and its compounds offered poets and orators, especially those of lesser skills, a way of adding gravitas to their works. Thus one can imagine Coleridge's delight in addressing “thrice-honoured fleas” in a tribute to John Donne’s little erotic poem.  Thrice compounds remained popular well into the twentieth century: At archive.org, a query for thrice honoured and thrice honored yielded together 2361 hits, but Fletcher’s happy, thrice happy produced 7476.."" 

|||SPLIT|||

 ""Thank you for your citations combining  """"thrice"""" with """"honored"""" or its near synonyms.I was hoping for a specific  formulaic origin, but I think we'll have to leave it as generic intensifier which gradually came to be used for this more specific purpose.""",Not enough information but I would assume they are good for peaks of 20 amps.,"Since these compounds virtually appear at the same time in the late sixteenth century, it’s doubtful there is a specific origin for _thrice honored_ beyond the conventions of polite and formal language of the day. The _Letter-Book_, from which I’ve added a few uses,  suggests thrice-compounds were quite common  among elite speakers."
MANTIS,mantis_q16848,"""
```text
library(lme4)library(merTools)data(sleepstudy)fm1 <- lmer(Reaction ~ Days + (Days|Subject), data=sleepstudy)PI <- predictInterval(merMod = fm1, newdata = sleepstudy,
                  level = 0.95, n.sims = 1000,
                  stat = """"median"""", type=""""linear.prediction"""",
                  include.resid.var = TRUE)
```
My question is: is there a rule of thumb of what the value of `n.sims` should be?EDITMy data contains 20686 rows (i.e. 20686 response variables) and 20 predictors. For such dataset, how many bootstrap samples are required? Is there any plots or papers that I can refer to that explain the number of bootstrap samples as a function of data size?"" 

|||SPLIT|||

 ""In addition to what can be found in the linked answer, some pointers:More is better.  Bootstrapping takes random subsamples with replacement, so the more often you do this, the smaller the chance your results are affected by the stochastic nature of this approach. For your final model you should do whatever number of bootstrap samples $B$ is still computationally feasible.If your data set is very large, or your model very complex, then $B=1,000$ may be prohibitively large for simple trial and error, so you could start with a lower number, bearing in mind that the variance will be larger. For example, if $B=1,000$ takes 10 minutes to run on your system, then simply halving to $B=500$ will already allow you to do twice as much trial and error in the same time. Your final comparisons could then be run overnight with a much larger number (e.g. $B=10,000$)."" 

|||SPLIT|||

 Okay. Thanks. My data contains 20686 rows (i.e. 20686 response variables) and 20 predictors. So what does your 2nd point mean in this context?","@vvv Your random number generation though correct is strange. You are generating a variable that can take on any value between 0 and ~370,000. Usually, we do not use such variables in models without transforming them somehow. The major point here is that statsmodel GLM behaves as one might expect. Most of the p-values at large sample sizes are greater than .05 (~95% of the p-values), if you repeat the process enough times.","P-values are usually reported on their own. If you want a confidence interval, try Bootstrapping. Re-sample the data, and compute the p-value. Repeat this many times and you get an approximate sampling distribution for $p$."
MANTIS,mantis_q13058,"""There is a point charge inside a neutral conducting shell. My understanding is that when we move the charge from point K to L along the path, we experience no force since the electric field inside due to the sphere is zero. I have a couple of questions regarding this system.1) Is my understanding that the electric field due to the shell is zero inside correct? If the answer is a yes, then..2) If we moved the charge really fast along the path, would there still be no field due to shell only?3) When we are moving the charge, there must be a redistribution of charges on the conducting shell. Does that mean the electrostatic self energy of the shell change? If it changes, how come it is so, when we are doing no work on the charge inside? (Again constant speed)4) While the redistribution of charges is in progress, do the electrons gain extra kinetic energy cause they are changing their positions around the sphere? And where does this energy come from in terms of energy conservation?"" 

|||SPLIT|||

 ""1) No - see this answer.2, 3, and 4) N/A."" 

|||SPLIT|||

 If its charge is not much less than the charge of the shell, and we move it really slowly, does it experience a coulomb force while moving?what if the shell is neutral for example and the charge is a big one? 

|||SPLIT|||

 @physicsguy19 Sorry, I realized my answer was completely wrong and changed it. 

|||SPLIT|||

 if the charge is at the centre of the shell, no force on the charge. if its not, everything changes.. is that correct?",@Abcd That conducting middle plate would have induced charges on its surface. If it did not there would be an electric field inside the **conducting** metal plate.,"@physicsguy19 Correct. If the charge isn't at the center of the shell, then it feels an radial force and gets attracted toward the nearest wall."
MANTIS,mantis_q5024,"""I am at a bit of a loss.  I am able to perform an nslookup and a dig on the address """"imap.comcast.net"""" but if I try to ping it or connect to it from my application I get a """"Temporary failure in name resolution"""".  Something must be amiss in my DNS configuration but I am unsure what it is.
```text
ping imap.comcast.netping: imap.comcast.net: Temporary failure in name resolution> systemd-resolve --status --no-pagerGlobal
          DNSSEC NTA: 10.in-addr.arpa
                      16.172.in-addr.arpa
                      168.192.in-addr.arpa
                      17.172.in-addr.arpa
                      18.172.in-addr.arpa
                      19.172.in-addr.arpa
                      20.172.in-addr.arpa
                      21.172.in-addr.arpa
                      22.172.in-addr.arpa
                      23.172.in-addr.arpa
                      24.172.in-addr.arpa
                      25.172.in-addr.arpa
                      26.172.in-addr.arpa
                      27.172.in-addr.arpa
                      28.172.in-addr.arpa
                      29.172.in-addr.arpa
                      30.172.in-addr.arpa
                      31.172.in-addr.arpa
                      corp
                      d.f.ip6.arpa
                      home
                      internal
                      intranet
                      lan
                      local
                      private
                      testLink 2 (ens3)
      Current Scopes: DNS
       LLMNR setting: yesMulticastDNS setting: no
      DNSSEC setting: no
    DNSSEC supported: no
         DNS Servers: 10.0.0.2
          DNS Domain: ec2.internal> cat /etc/resolv.conf# This file is managed by man:
systemd-resolved(8). Do not edit.## This is a dynamic resolv.conf file 
for connecting local clients to the# internal DNS stub resolver of systemd-resolved. This file lists all# configured search domains.## Run """"systemd-resolve --status"""" to see details about the uplink DNS servers# currently in use.## Third party programs must not access this file directly, but only through the# symlink at /etc/resolv.conf. To manage man:
resolv.conf(5) in a different way,# replace this symlink by a static file or a different symlink.## See man:
systemd-resolved.service(8) 
for details about the supported modes of# operation 
for /etc/resolv.conf.nameserver 127.0.0.53search ec2.internal
```
Some more forensic information/etc/resolv.conf is a symlink as seen here
```text
readlink -f /etc/resolv.conf/run/systemd/resolve/stub-resolv.conf
```
If I change the symlink and restart systemd.resolve I can ping the address but it appears to disable dns caching
```text
>sudo service systemd-resolved stop>sudo rm -f /etc/resolv.conf>sudo ln -s /run/systemd/resolve/resolv.conf /etc/resolv.conf>sudo service systemd-resolved start>ping imap.comcast.net>sudo systemd-resolve --statisticsDNSSEC supported by current servers: noTransactionsCurrent Transactions: 0
  Total Transactions: 0Cache
  Current Cache Size: 0
          Cache Hits: 0
        Cache Misses: 0DNSSEC Verdicts
              Secure: 0
            Insecure: 0
               Bogus: 0
       Indeterminate: 0
```
"" 

|||SPLIT|||

 ""I think I had this issue before. I used the first answer in this question to resolve it:Wrong nameserver set by resolvconf and NetworkManagerThe answer is to change the resolv.conf symlink:
```text
sudo rm -f /etc/resolv.confsudo ln -s /run/systemd/resolve/resolv.conf /etc/resolv.confreboot
```
"" 

|||SPLIT|||

 I attempted to change the symlink like so`sudo service systemd-resolved stop``sudo rm -f /etc/resolv.conf``sudo ln -s /run/systemd/resolve/resolv.conf /etc/resolv.conf``sudo service systemd-resolved start`But, although it does solve my name resolution error it also seems to disable systemd.resolve's dns caching completely",What are you using to determine if systemd-resolved's dns caching is enabled or not?,@SlavaFominII I agree that hard-wiring DNS servers is not optimal. The temporary changes to /etc/nsswitch.conf probably require a reboot to stick. I've put up Update #6 for you to test while monitoring `resolvectl` instead of watching `/etc/resolv.conf`. Report back :-)
MANTIS,mantis_q17362,"""I want to isolate gender differences in preferences for a particular attribute of a product based on data available about their product purchases. I understand that I have to use a mixed Poisson regression model as in my data - (1) I have same person buying multiple products (also, a given product might be bought by several people); and (2) the product attribute I am interested is a count variable. I am using the below model in `R` - 
```text
glmer(p1 ~ gender + (1|personID), family=poisson)
```
In this model, how should I control for the effects of other product attributes (e.g., `price`)? In essence, I want to say something to the effect of """"women prefer products that are high on `p1` more than do men, even after controlling for price of the products""""?  Would the below modification to the model take care of all other product attributes?
```text
glmer(p1 ~ gender + (1|personID) + (1|product), family=poisson)
```
"" 

|||SPLIT|||

 ""Variables that you want to control for are usually added as independent variables to your model (so you'd simply add price to the RHS of the equal sign in your model statement).  That being said, I wonder if you are approaching your modeling in an appropriate way?  What is $p_1$ here?  Is $p_1$ a count variable?  Poisson models are usually reserved for modeling count data (i.e. when your response is a count, not your independent variables) -- this is the reason you were probably told to use a Poisson model -- not because of the first reason you listed in your post: """"I have same person buying multiple products (also, a given product might be bought by several people).""""  When you have multiple purchases by the same person, this usually indicates that here is a correlated data problem, which means you'll likely have to rely on other methods than a standard Poisson model.  This is likely why someone recommended you use a mixed model.   That being said, given that you are interested in overall/population gender effects, and you have correlated data, I'd recommend the use of Generalized Estimating Equations or a Quasi-Poisson model.  Mixed models are generally needed for estimating individual level effects (e.g. if you were interested in looking at a specific person's purchase behavior), but in this case, you seem interested only in population-level estimates to predict general preferences among demographic blocks.What I would recommend you do is build a GEE model and include as many different attributes as you want to control for on the product as covariates in your model as well as your repeated subject ID and gender indicator variable.  Then you'll be able to say for example what the expected effect on your response is when you go from males to femals (or vice-versa) when controlling for the given attributes.  You should consider including interaction terms if you think certain attributes have a differential effect on your outcome variable for males and females.  This will also allow you to assess the impact of the attributes on preferences."" 

|||SPLIT|||

 Thank you very much. I will explore GEE and Quasi-Poisson. But I still don't exactly get what is incorrect with the current `glmer` Poisson model specification. Could I not simply look at the coefficient of `gender` in the mixed model and its significance to make inferences about gender differences? Please let me know. A second concern that remains is, with respect to adding `price` as co-variate/control variable. Does it not imply that I am trying to say that price predicts `p1`? How do I say that it is not on price, but p1 that gender differences exist?","""@Mike, *"""" I'm assuming height matters for males, but not females, and weight matters for females, but not males.""""* In that case, do not call that product term """"interaction"""" because it's actually not. And also be aware that i) your model constraints the association very severely and before fitting so, double check with exploratory data analysis; ii) according to your model, height matters to male and female matters to female may not actually be true, it's just because you model them that way.""","@762 Yes, for the dependent variable,  depending on the numbers you may want to fit a Poisson model (which would be a GLMM), though if the numbers are large and well approximated by a normal distribution, a LMM may be adequate, If you refer to independent variables, they should be handled automatically. Take a look at the 2 references I gave to my answer [here](https://stats.stackexchange.com/questions/386474/what-is-the-joint-density-function-of-a-three-level-mixed-effects-model) which are both  by the authors of the `lme4` package"
MANTIS,mantis_q11173,"I have a table of points.Each row has a string `hex` field that stores a color code in hex format: `#000000`. I want to style my map so that each point displays with the color assigned to it.  But setting the CartoCSS `marker-fill` property to `[hex]` throws an error:
```text
#points {
   marker-fill: [hex]; }
```
Is there any way that I can color my points based on a color field in my table? 

|||SPLIT|||

 ""You are missing `;` at the end of your code. Check the following example:"" 

|||SPLIT|||

 ""I have updated my example, which I typed incorrectly. But my production code includes a semicolon, and still throws an error: """"style0:3:2 Invalid value for marker-fill, the type color is expected. [hex] (of type field) was given.""""""",Can you share the link to your dataset? It should work both in Engine apps (as seen in my first screenshot) and in BUILDER (as in the new pictures added to my answer).,It's probably just  another way of color coding..If my answer works for you please accept it by clicking on the tick mark
MANTIS,mantis_q2242,"""I'm very new in Ubuntu. I'm trying to upgrade my texlive in ubuntu 16.04 from 2015 to 2017 following this instruction. I have added these 2 file to my source list :
```text
deb http://ppa.launchpad.net/jonathonf/texlive-2017/ubuntu xenial main deb-src http://ppa.launchpad.net/jonathonf/texlive-2017/ubuntu xenial main
```
And I run  `sudo apt-get update` successfully !but in next step I'm facing with error :
```text
sudo add-apt-repository ppa:
jonathonf/texlive-2017Cannot add PPA: 'ppa:~jonathonf/ubuntu/texlive-2017'.ERROR: '~jonathonf' user or team does not exist.
```
I did also :
```text
sudo apt-get install --reinstall ca-certificates
```
and repeat the process but no chance ! Would be grateful if somebody could help ?!"" 

|||SPLIT|||

 ""You need not add the PPA twice. The easy way is via `add-apt-repository`. You find the PPA at this link,launchpad.net/~jonathonf/+archive/ubuntu/texlive-2017and it describes how to use it,
```text
sudo add-apt-repository ppa:
jonathonf/texlive-2017sudo apt-get update
```
These commands work for me (I tested in 16.04.1 LTS - live). Maybe there was a temporary glitch. Maybe there was an error because you try to add the PPA twice."" 

|||SPLIT|||

 I have mentioned that like you referred to in my question ! my problem is when I run the cammand that you mentioned, I'm getting error `Cannot add PPA: 'ppa:~jonathonf/ubuntu/texlive-2017'.ERROR: '~jonathonf' user or team does not exist.`","See update above. We can install gcc 7.3 and even 8 from other PPA (`ppa:jonathonf/gcc`). Great work, @JonathonF !@Ryan please remove your comment from here and open new question with your personal experience and complete details.","Strange that it works for me but not for you. What happens if you try again?@AliHadjihoseini, Maybe you can remove those lines, that you added manually into your `sources.list` file. And after that try via `add-apt-repository`. This way you need not add the key separately (it should work automatically)."
MANTIS,mantis_q528,"When I plug my iPhone 7 (iOS 11.3) into my Mac (macOS 10.13.4), I see the following categories in iTunes (12.7.4):I don't see any way to do backups.  How do I do local backups with the latest iOS / MacOS? 

|||SPLIT|||

 ""In the iTunes window, click on Summary. Under Backups, click on Back Up Now button."" 

|||SPLIT|||

 there's no summary window that's what I'm showing in my screenshot",Yay! Safari 11.1 fixes this in macOS 10.13.4,"@sam That's good. At times I too though of adopting the practise of keeping OS installer backups, but have not done yet. I hope Apple doesn't start the practise of signing macOS releases just like they do for iOS."
MANTIS,mantis_q5073,"""The last upgrading from Mozilla Firefox has a lost button.When we go to """"Preferences"""", then to """"Privacy and Security"""", then to """"Clean History"""", if we want to clean all... We don't have any button to do that!What's happened with that button?How can we clean the navigator history?NEW DATA:I discovered that this problem is ONLY present with screen monitors that have less than 1024 pixels of height!I discovered it, because the old monitor of one of my desktp PC died. So, I had to use another monitor with 1280x1024 pixels of resolution and... Now I can see the lost button!So... The issue is about... How to get Firefox shows those buttons with less than 1024 pixels height resolution?These are the images to clear the issue:As you can see in the second image, the [Clear All] button doesn't appear."" 

|||SPLIT|||

 ""A shortcut still present in Firefox 64 is to press Control+Shift+Delete at the same time to bring up the Clear Recent History window. Alternatively, open Preferences > Privacy & Security > History.Carefully select what you want to clear by ticking or unticking the relevant boxes. Then, click on the dropdown next to Time range to clear and choose Everything:"" 

|||SPLIT|||

 In my system the [CONTROL]+[SHIFT]+[DELETE] combination gives me a session restart! Nothing related with Firefox!","In that case, just follow the method you use to reach the *Preferences > Privacy > History* section. Do you then not see the image above?","""@rahi Works pretty well for me: https://i.stack.imgur.com/NaEIO.png. Should not be necessary, but try changing the `""""name:""""` too in `metadata.json`."""
